bond_key,emisor,credit_rating_agency,risk_classification
1,Administradora Jockey Plaza Shopping Center S.A.,apoyo,AA+
2,Administradora Jockey Plaza Shopping Center S.A.,apoyo,AA+
3,Administradora Jockey Plaza Shopping Center S.A.,apoyo,AA+
7,Alicorp S.A.A.,apoyo,AAA
8,Alicorp S.A.A.,apoyo,AAA
9,Alicorp S.A.A.,apoyo,AAA
10,Alicorp S.A.A.,apoyo,CP-1+
11,Alicorp S.A.A.,apoyo,BBB
12,Banco BCI Perú S.A.,apoyo,CP-1+
13,Banco de la Nación,apoyo,AA+
16,Banco Falabella Perú S.A.,apoyo,CP-1
17,Banco Falabella Perú S.A.,apoyo,CP-1
18,Banco Falabella Perú S.A.,apoyo,CP-1
19,Banco Falabella Perú S.A.,apoyo,CP-1
20,Banco Falabella Perú S.A.,apoyo,CP-1
21,Banco Falabella Perú S.A.,apoyo,CP-1
35,Banco Santander Perú S.A.,apoyo,AAA
36,Banco BBVA Perú,apoyo,AAA
37,Banco BBVA Perú,apoyo,AAA
38,Banco BBVA Perú,apoyo,AA+
39,Banco BBVA Perú,apoyo,AA+
45,Centenario Renta Inmobiliaria S.A.C.,apoyo,AA
48,Caja Municipal de Ahorro y Crédito de Arequipa S.A.,apoyo,A
49,Cineplex S.A.,apoyo,AA-
50,Compartamos Financiera S.A.,apoyo,CP-1
51,Compartamos Financiera S.A.,apoyo,CP-1
52,Compartamos Financiera S.A.,apoyo,CP-1
53,Compartamos Financiera S.A.,apoyo,CP-1
54,Compartamos Financiera S.A.,apoyo,CP-1
55,Compartamos Financiera S.A.,apoyo,CP-1
56,Conelsur LT S.A.C.,apoyo,AA+
57,Corporación Azucarera del Perú S.A.,apoyo,A+
58,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+
59,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+
60,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+
61,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+
62,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+
63,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+
64,Corporación Financiera de Desarrollo - COFIDE,apoyo,AA+
65,Corporación Financiera de Desarrollo - COFIDE,apoyo,CP-1+
66,Corporación Financiera de Desarrollo - COFIDE,apoyo,CP-1+
67,Corporación Financiera de Desarrollo - COFIDE,apoyo,CP-1+
68,Corporación Financiera de Desarrollo - COFIDE,apoyo,CP-1+
75,Crediscotia Financiera S.A.,apoyo,CP-1+
76,Crediscotia Financiera S.A.,apoyo,CP-1+
77,Crediscotia Financiera S.A.,apoyo,CP-1+
78,Crediscotia Financiera S.A.,apoyo,CP-1+
79,Enel Generación Perú S.A.A.,apoyo,AAA
80,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+
81,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+
82,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+
83,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+
84,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+
85,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+
86,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),apoyo,CP-1+
87,Pacífico Compañía de Seguros y Reaseguros,apoyo,AA+
88,Pacífico Compañía de Seguros y Reaseguros,apoyo,AA+
89,Atria Energía S.A.C.,apoyo,AA-
90,Atria Energía S.A.C.,apoyo,AA-
91,Electro Dunas S.A.A.,apoyo,AAA
92,Electro Dunas S.A.A.,apoyo,AAA
106,Engie Energía Perú S.A (antes Enersur S.A),apoyo,AAA
107,Engie Energía Perú S.A (antes Enersur S.A),apoyo,AAA
108,Engie Energía Perú S.A (antes Enersur S.A),apoyo,AAA
109,Engie Energía Perú S.A (antes Enersur S.A),apoyo,AAA
110,Engie Energía Perú S.A (antes Enersur S.A),apoyo,AAA
111,EuroCapital Servicios Financieros S.A.C.,apoyo,CP-2
115,Financiera Confianza S.A.A.,apoyo,CP-1
116,Financiera Confianza S.A.A.,apoyo,CP-1
117,Financiera Confianza S.A.A.,apoyo,CP-1
118,Financiera Confianza S.A.A.,apoyo,CP-1
121,Financiera OH! S.A.,apoyo,AA-
123,Fondo Mivivienda S.A.,apoyo,AAA
124,Fondo Mivivienda S.A.,apoyo,AAA
125,Fondo Mivivienda S.A.,apoyo,AAA
126,Fondo Mivivienda S.A.,apoyo,AAA
129,Leche Gloria S.A.,apoyo,AAA
132,Banco Internacional del Perú - Interbank,apoyo,CP-1+
133,Banco Internacional del Perú - Interbank,apoyo,CP-1+
142,Los Portales S.A.,apoyo,CP-1-
143,Los Portales S.A.,apoyo,CP-1-
144,Los Portales S.A.,apoyo,CP-1-
145,Los Portales S.A.,apoyo,CP-1-
158,Mibanco Banco de la Microempresa S.A.,apoyo,AA
159,Mibanco Banco de la Microempresa S.A.,apoyo,AA
160,Mibanco Banco de la Microempresa S.A.,apoyo,CP-1+
161,Mibanco Banco de la Microempresa S.A.,apoyo,CP-1+
162,Red Vial 5 S.A. (Antes Norvial S.A.),apoyo,AA
164,Softys Perú S.A.C.,apoyo,AA
165,Red de Energía del Perú S.A.,apoyo,AAA
166,Red de Energía del Perú S.A.,apoyo,AAA
167,Scotiabank Perú S.A.,apoyo,BBB+
168,Telefónica del Peru S.A.A.,apoyo,AAA
169,Telefónica del Peru S.A.A.,apoyo,AAA
170,Telefónica del Peru S.A.A.,apoyo,AAA
1,Administradora Jockey Plaza Shopping Center S.A.,moodys_local_peru,AA+
2,Administradora Jockey Plaza Shopping Center S.A.,moodys_local_peru,AA+
3,Administradora Jockey Plaza Shopping Center S.A.,moodys_local_peru,AA+
7,Alicorp S.A.A.,moodys_local_peru,AAA
