bond_key,emisor,apoyo,moodys_local_peru,jcr_latino_america,pcr,class
1 ,Administradora Jockey Plaza Shopping Center S.A.,AA+,AA+,,,
2 ,Administradora Jockey Plaza Shopping Center S.A.,AA+,AA+,,,
3 ,Administradora Jockey Plaza Shopping Center S.A.,AA+,AA+,,,
4 ,Agrícola y Ganadera Chavín de Huántar S.A.,,,,p2,
5 ,Agrícola y Ganadera Chavín de Huántar S.A.,,,,p2,
6 ,Agrícola y Ganadera Chavín de Huántar S.A.,,,,p2,
7 ,Alicorp S.A.A.,AAA,AAA,,,
8 ,Alicorp S.A.A.,AAA,AAA,,,
9 ,Alicorp S.A.A.,AAA,AAA,,,
10 ,Alicorp S.A.A.,CP-1+,ML-1,,,
11 ,Alicorp S.A.A.,BBB,Baa3,,,
12 ,Banco BCI Perú S.A.,CP-1+,ML-1,,,
13 ,Banco de la Nación,AA+,AA+,,,
14 ,Banco Pichincha,,,,pAA,AA
15 ,Banco Pichincha,,,,pAA-,AA-
16 ,Banco Falabella Perú S.A.,CP-1,ML-1,,,
17 ,Banco Falabella Perú S.A.,CP-1,ML-1,,,
18 ,Banco Falabella Perú S.A.,CP-1,ML-1,,,
19 ,Banco Falabella Perú S.A.,CP-1,ML-1,,,
20 ,Banco Falabella Perú S.A.,CP-1,ML-1,,,
21 ,Banco Falabella Perú S.A.,CP-1,ML-1,,,
22 ,Banco GNB Peru S.A.,,,,AA,AA-
23 ,Banco GNB Peru S.A.,,ML-1,,p1,
24 ,Banco GNB Peru S.A.,,ML-1,,p1,
25 ,Banco GNB Peru S.A.,,ML-1,,p1,
26 ,Banco Interamericano de Finanzas- Banbif ,,,,pAA,AA
27 ,Banco Interamericano de Finanzas- Banbif ,,,,pAA,AA
28 ,Banco Interamericano de Finanzas- Banbif ,,,,pAA,AA
29 ,Banco Interamericano de Finanzas- Banbif ,,,,pAA,AA
30 ,Banco Interamericano de Finanzas- Banbif ,,,,pAA,AA
31 ,Banco Interamericano de Finanzas- Banbif ,,,,pAA,
32 ,Banco Interamericano de Finanzas- Banbif ,,,,pAA,
33 ,Banco Interamericano de Finanzas- Banbif ,,ML-1,,p1+,
34 ,Banco Interamericano de Finanzas- Banbif ,,ML-1,,p1+,
35 ,Banco Interamericano de Finanzas- Banbif ,,ML-1,,p1+,
36 ,Banco Ripley Perú S.A.,,ML-1,,p1-,
37 ,Banco Santander Perú S.A.,AAA,AAA,,pAAA,
38 ,Banco BBVA Perú,AAA,AAA,,pAAA,
39 ,Banco BBVA Perú,AAA,ML-2+,,,
40 ,Banco BBVA Perú,AA+,AA+,,pAA+,
41 ,Banco BBVA Perú,AA+,AA+,,pAA+,
42 ,Banco BBVA Perú,AA+,AA+,,pAA+,
43 ,Banco BBVA Perú,AA+,AA+,,pAA+,
44 ,Banco BBVA Perú,AA+,AA+,,pAA+,
45 ,Bosques Amazónicos S.A.C.,,ML-2,,p1-,
46 ,Bosques Amazónicos S.A.C.,,ML-2,,p1-,
47 ,Bosques Amazónicos S.A.C.,,ML-2,,p1-,
48 ,Bosques Amazónicos S.A.C.,,,,PA+,
49 ,Bosques Amazónicos S.A.C.,,,,pA+,
50 ,Centenario Renta Inmobiliaria S.A.C.,AA,,,pAA,
51 ,Cementos Pacasmayo S.A.A.,,AAA,,,AAA
52 ,Cementos Pacasmayo S.A.A.,,AAA,,,AAA
53 ,Caja Municipal de Ahorro y Crédito de Arequipa S.A.,A,,,,A
54 ,Cineplex S.A.,AA-,,,,AA
55 ,Compartamos Financiera S.A.,CP-1,,,,
56 ,Compartamos Financiera S.A.,CP-1,ML-1,P1-,,
57 ,Compartamos Financiera S.A.,CP-1,ML-1,P1-,,
58 ,Compartamos Financiera S.A.,CP-1,ML-1,P1-,,
59 ,Compartamos Financiera S.A.,CP-1,ML-1,P1-,,CLA-1
60 ,Compartamos Financiera S.A.,CP-1,ML-1,P1-,,CLA-1
61 ,Concesionaria Trasvase Olmos S.A.,AAA,AA+,,pAAA,
62 ,Concesionaria Trasvase Olmos S.A.,AAA,AA+,,pAAA,
63 ,Conelsur LT S.A.C.,AA+,,,,AAA
64 ,Corporación Azucarera del Perú S.A.,A+,A,,,A+
65 ,Corporación Financiera de Desarrollo - COFIDE,AA+,AA,,,AA+
66 ,Corporación Financiera de Desarrollo - COFIDE,AA+,AA,,,AA+
67 ,Corporación Financiera de Desarrollo - COFIDE,AA+,AA,,,AA+
68 ,Corporación Financiera de Desarrollo - COFIDE,AA+,AA,,,AA+
69 ,Corporación Financiera de Desarrollo - COFIDE,AA+,AA,,,AA+
70 ,Corporación Financiera de Desarrollo - COFIDE,AA+,AA,,,AA+
71 ,Corporación Financiera de Desarrollo - COFIDE,AA+,AA,,,AA+
72 ,Corporación Financiera de Desarrollo - COFIDE,,AA,,,AA+
73 ,Corporación Financiera de Desarrollo - COFIDE,CP-1+,ML-1,,,
74 ,Corporación Financiera de Desarrollo - COFIDE,CP-1+,ML-1,,,
75 ,Corporación Financiera de Desarrollo - COFIDE,CP-1+,ML-1,,,
76 ,Corporación Financiera de Desarrollo - COFIDE,CP-1+,ML-1,,,
77 ,Corporación Primax,,AA+,,,
78 ,Corporación Primax,,AA+,,,
79 ,Corporación Primax,,AA+,,,
80 ,Corporación Primax,,AA+,,,
81 ,Corporación Primax,,AA+,,,
82 ,Cosapi S.A.,,A-,,,A+
83 ,Crediscotia Financiera S.A.,CP-1+,ML-1,,,
84 ,Crediscotia Financiera S.A.,CP-1+,ML-1,,,
85 ,Crediscotia Financiera S.A.,CP-1+,EQL-1+,,,
86 ,Crediscotia Financiera S.A.,CP-1+,ML-1,,,
87 ,Enel Generación Perú S.A.A.,AAA,,,pAAA,
88 ,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),CP-1+,ML-1,,,
89 ,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),CP-1+,ML-1,,,
90 ,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),CP-1+,ML-1,,,
91 ,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),CP-1+,ML-1,,,
92 ,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),CP-1+,ML-1,,,
93 ,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),CP-1+,ML-1,,,
94 ,Empresa de Créditos Santander Consumo Perú S.A. (Antes EDPYME Santander Consumo Perú S.A.),CP-1+,ML-1,,,
95 ,Pacífico Compañía de Seguros y Reaseguros,AA+,AA+,,,
96 ,Pacífico Compañía de Seguros y Reaseguros,AA+,AA+,,,
97 ,Atria Energía S.A.C.,AA-,,,,
98 ,Atria Energía S.A.C.,AA-,,,,
99 ,Electro Dunas S.A.A.,AAA,,,,AAA
