Nombre,Nemonico,ISIN,Tipo,Gestor,Logo
ARK INNOVATION ETF,ARKK,US00214Q1040,ETF,Ark,logoArk.png
AZTLAN GLOBAL STOCK SELECTION DM SMID ETF,AZTD,US8863644709,ETF,Aztlan,logoAztlan.png
AZTLAN NORTH AMERICA NEARSHORING STOCK SELECTION ETF,NRSH,US8863642729,ETF,Aztlan,logoAztlan.png
CONSUMER DISCRETIONARY SELECT SPDR FUND,XLY,US81369Y4070,ETF,StateStreet,logoStateStreet.png
DIREXION DAILY 20+ YEAR TREASURY BULL 3X SHARES,TMF,US25460G1388,ETF,Direxion,logoDirexion.png
DIREXION DAILY FINANCIAL BULL 3X SHARES,FAS,US25459Y6941,ETF,Direxion,logoDirexion.png
DIREXION DAILY GOLD MINERS INDEX BEAR 2X SHARES,DUST,US25460G8805,ETF,Direxion,logoDirexion.png
DIREXION DAILY GOLD MINERS INDEX BULL 2X SHARES,NUGT,US25460G7815,ETF,Direxion,logoDirexion.png
DIREXION DAILY JUNIOR GOLD MINERS INDEX BULL 2X SHARES,JNUG,US25460G8318,ETF,Direxion,logoDirexion.png
DIREXION DAILY MSCI BRAZIL BULL 2X SHARES,BRZU,US25460G7088,ETF,Direxion,logoDirexion.png
DIREXION DAILY S&P 500 BEAR 3X SHARES,SPXS,US25460E2651,ETF,Direxion,logoDirexion.png
DIREXION DAILY S&P 500 BULL 3X SHARES,SPXL,US25459W8626,ETF,Direxion,logoDirexion.png
DIREXION DAILY S&P BIOTECH BULL 3X SHARES,LABU,US25460G1206,ETF,Direxion,logoDirexion.png
DIREXION DAILY SEMICONDUCTOR BULL 3X SHARES,SOXL,US25459W4583,ETF,Direxion,logoDirexion.png
DIREXION DAILY TECHNOLOGY BULL 3X SHARES,TECL,US25459W1027,ETF,Direxion,logoDirexion.png
Direxion Daily FTSE China Bull 3X Shares,YINN,US25460G1958,ETF,Direxion,logoDirexion.png
Direxion Daily Junior Gold Miners Index Bear 2X Shares,JDST,US25460G8078,ETF,Direxion,logoDirexion.png
Direxion Daily TSLA Bull 2X Shares,TSLL,US25460G2865,ETF,Direxion,logoDirexion.png
ENERGY SEL SECT SPDR FD,XLE,US81369Y5069,ETF,StateStreet,logoStateStreet.png
FINANCIAL SELECT SECTOR SPDR® ETF,XLF,US81369Y6059,ETF,StateStreet,logoStateStreet.png
FIRST TRUST NASDAQ CYBERSECURITY ETF,CIBR,US33734X8469,ETF,FirstTrust,logoFirstTrust.png
