Fondo,SAFM,Moneda,Valor Cuota,Mes,Variación Anual 2023,Últimos 12 Meses
BBVA Perú Soles,BBVA Asset Management,S/,"146,51","0,60%","0,60%","7,02%"
BBVA Soles Monetario,BBVA Asset Management,S/,"188,81","0,84%","0,84%","8,16%"
BBVA Tesoreria Soles,BBVA Asset Management,S/,"120,14","0,58%","0,58%","7,18%"
Credicorp Capital Conservador Corto Plazo Soles,Credicorp Capital,S/,"146,63","0,74%","0,74%","7,88%"
Credicorp Capital Conservador Liquidez Soles,Credicorp Capital,S/,"320,12","0,55%","0,55%","7,25%"
Diviso Conservador Soles,Diviso Fondos,S/,"157,40","0,48%","0,48%","7,73%"
Sura Corto Plazo Soles FMIV,Fondos Sura,S/,"180,82","0,88%","0,88%","7,21%"
Sura Ultra Cash Soles FMIV,Fondos Sura,S/,"155,59","0,57%","0,57%","7,43%"
SF Liquidez S/.,Scotia Fondos,S/,"10,85","0,51%","0,51","6,86%"
De Deuda (Mediano Plazo),,,,,,
BBVA Soles,BBVA Asset Management,S/,"353,61","0,81%","0,81%","11,13%"
Credicorp Capital Conservador Mediano Plazo Soles,Credicorp Capital,S/,"195,92","1,27%","1,27%","10,65%"
Sura Renta Soles FMIV,Fondos Sura,S/,"213,17","1,11%","1,11%","8,94%"
IF Mediano Plazo Soles,Interfondos,S/,"206,20","0,89%","0,89%","10,13%"
De Deuda (Duración Flexible),,,,,,
Sura Deuda Soberana Soles,Fondos Sura,S/,"110,56","2,22%","2,22%",-
Sura Plazo Definido S/ II,Fondos Sura,S/,"105,60","0,66%","0,66%",-
Sura Plazo Definido S/ III,Scotia Fondos,S/,"102,62","0,63%","0,63%",-
IF Libre Disponibilidad Soles SERIE A,Interfondos,S/,"131,02","0,49%","0,49%",6.47%
IF Libre Disponibilidad Soles SERIE B,Interfondos,S/,"131,58","0,51%","0,51%",6.62%
