Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N
Renta Variable,CREDICORP ACCIONES GLOBAL CREDIFONDO SAF,CREDIFONDO SAF,25/03/2013,$,186.38,0.1297,0.1656,-0.2041,0.1397,0.1303,0.2313,-0.1154,0.2009,0.0315,-0.0556,-0.0042,24914774.44,938.0
Renta Variable,CREDICORP CAPITAL ACCIONES CREDIFONDO SAF,CREDIFONDO SAF,17/01/2007,$,171.49,0.1415,0.228,0.0215,-0.0644,-0.0588,0.0563,-0.1253,0.2724,0.5416,-0.4038,-0.116,44109977.34,617.0
Renta Variable,Faro Global Innovation Instit. FARO CAPITAL SAFI,FARO CAPITAL SAFI,27/01/2020,$,0.0,,,,,,,,,,,,14601706.51,27.0
Renta Variable,FARO CAPITAL SAFI-Faro Global Innovation Instit. SERIE A,FARO CAPITAL SAFI,27/01/2020,$,92.71,0.0574,0.2314,-0.3026,-0.1966,,,,,,,,,1.0
Renta Variable,FARO CAPITAL SAFI-Faro Global Innovation Instit. SERIE B,FARO CAPITAL SAFI,27/01/2020,$,125.35,0.0553,0.2285,-0.3043,-0.0248,,,,,,,,,4.0
Renta Variable,FARO CAPITAL SAFI-Faro Global Innovation Instit. SERIE C,FARO CAPITAL SAFI,27/01/2020,$,123.93,0.0532,0.2256,-0.3059,-0.0271,0.4255,,,,,,,,22.0
Renta Variable,FARO RENTA VARIABLE GLOBAL FARO CAPITAL SAFI,FARO CAPITAL SAFI,29/05/2018,$,0.0,,,,,,,,,,,,64731317.64,49.0
Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,152.56,0.1273,0.1724,-0.206,0.1192,0.2443,0.1666,-0.1108,,,,,,3.0
Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,149.77,0.125,0.1697,-0.208,0.1165,0.2414,0.1618,-0.1133,,,,,,8.0
Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,145.22,0.1205,0.1642,-0.2117,0.1113,0.2356,0.156,-0.1158,,,,,,38.0
Renta Variable,IF ACCIONES INTERFONDO,INTERFONDO,19/01/2007,S/.,109.5,0.0909,0.1398,-0.0743,0.075,0.0031,-0.0132,-0.0914,0.2204,0.4764,-0.3053,-0.075,10327463.73,1319.0
Renta Variable,Promoinvest Fondo Selectivo PROMOINVEST SAF,PROMOINVEST SAF,14/01/1999,$,3.25,0.0933,0.0595,-0.0381,0.03,-0.1799,-0.0352,-0.1698,0.2781,0.7177,-0.5004,-0.1759,4637106.61,451.0
Renta Variable,SCOTIA FONDO ACCIONES SCOTIA FONDOS,SCOTIA FONDOS,2/4/08,S/.,11.16,0.1512,0.1729,-0.0373,-0.0551,0.0045,-0.0032,-0.1278,0.0711,0.4648,-0.348,-0.0725,3201976.0,182.0
