Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N,Años,Categoria,Fund id,Highest Return,Lowest Return,Avg Return (Arithmetic),Standard Deviation of Returns,Total Cumulative Return,Cumulative Return Period,Annualized Cumulative Return,CAGR,Sharpe Ratio,Risk
Renta Variable,CREDICORP ACCIONES GLOBAL,CREDIFONDO SAF,25/03/2013,$,186.38,0.1297,0.1656,-0.2041,0.1397,0.1303,0.2313,-0.1154,0.2009,0.0315,-0.0556,-0.0042,24914774.44,938.0,11,Renta Variable,1,0.2313,-0.2041,0.06187619047619048,0.13327644561776025,0.7130515812090841,10.5,0.06790967440086515,0.0526011773254178,0.24461319608506582,Medium
Renta Variable,CREDICORP CAPITAL ACCIONES,CREDIFONDO SAF,17/01/2007,$,171.49,0.1415,0.228,0.0215,-0.0644,-0.0588,0.0563,-0.1253,0.2724,0.5416,-0.4038,-0.116,44109977.34,617.0,17,Renta Variable,2,0.5416,-0.4038,0.046952380952380954,0.23759028508395497,0.2044001206575001,10.5,0.019466678157857152,0.0178703322639433,-0.00896361454890363,High
Renta Variable,Faro Global Innovation Instit.,FARO CAPITAL SAFI,27/01/2020,$,0.0,,,,,,,,,,,,14601706.51,27.0,4,Renta Variable,3,,,,,,,,,,
Renta Variable,-Faro Global Innovation Instit. SERIE A,FARO CAPITAL SAFI,27/01/2020,$,92.71,0.0574,0.2314,-0.3026,-0.1966,,,,,,,,,1.0,4,Renta Variable,4,0.2314,-0.3026,-0.06011428571428571,0.2098915541173487,-0.2704547641000625,3.5,-0.07727278974287499,-0.0861560005145603,-0.5057659464239772,High
Renta Variable,-Faro Global Innovation Instit. SERIE B,FARO CAPITAL SAFI,27/01/2020,$,125.35,0.0553,0.2285,-0.3043,-0.0248,,,,,,,,,4.0,4,Renta Variable,5,0.2285,-0.3043,-0.012942857142857148,0.19234169942249835,-0.12043731790262825,3.5,-0.034410662257893784,-0.03600179080544896,-0.29115782471296187,Medium High
Renta Variable,-Faro Global Innovation Instit. SERIE C,FARO CAPITAL SAFI,27/01/2020,$,123.93,0.0532,0.2256,-0.3059,-0.0271,0.4255,,,,,,,,22.0,4,Renta Variable,6,0.4255,-0.3059,0.0825111111111111,0.2457041864408661,0.24255915110352333,4.5,0.05390203357856074,0.049444194466761404,0.11983594945317616,High
Renta Variable,FARO RENTA VARIABLE GLOBAL,FARO CAPITAL SAFI,29/05/2018,$,0.0,,,,,,,,,,,,64731317.64,49.0,6,Renta Variable,7,,,,,,,,,,
Renta Variable,-FARO RENTA VARIABLE GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,152.56,0.1273,0.1724,-0.206,0.1192,0.2443,0.1666,-0.1108,,,,,,3.0,6,Renta Variable,8,0.2443,-0.206,0.0789230769230769,0.15348953783516345,0.5159680484865024,6.5,0.07937969976715421,0.06610129014070076,0.30035460912137335,Medium High
Renta Variable,-FARO RENTA VARIABLE GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,149.77,0.125,0.1697,-0.208,0.1165,0.2414,0.1618,-0.1133,,,,,,8.0,6,Renta Variable,9,0.2414,-0.208,0.07586153846153847,0.15307308800210026,0.48809529312473215,6.5,0.0750915835576511,0.0630619550153726,0.28131630175763983,Medium High
Renta Variable,-FARO RENTA VARIABLE GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,145.22,0.1205,0.1642,-0.2117,0.1113,0.2356,0.156,-0.1158,,,,,,38.0,6,Renta Variable,10,0.2356,-0.2117,0.07078461538461539,0.15206986145899826,0.4432731790280795,6.5,0.06819587369662762,0.05807185004689952,0.2503576295896384,Medium High
Renta Variable,IF ACCIONES,INTERFONDO,19/01/2007,S/.,109.5,0.0909,0.1398,-0.0743,0.075,0.0031,-0.0132,-0.0914,0.2204,0.4764,-0.3053,-0.075,10327463.73,1319.0,17,Renta Variable,11,0.4764,-0.3053,0.04251428571428571,0.1915918282329392,0.2884978350709622,10.5,0.027475984292472593,0.02443441844857941,0.023145133534547203,Medium High
Renta Variable,Promoinvest Fondo Selectivo,PROMOINVEST SAF,14/01/1999,$,3.25,0.0933,0.0595,-0.0381,0.03,-0.1799,-0.0352,-0.1698,0.2781,0.7177,-0.5004,-0.1759,4637106.61,451.0,25,Renta Variable,12,0.7177,-0.5004,0.0075523809523809615,0.29391330283536166,-0.31858955138786516,10.5,-0.03034186203693954,-0.03587316634205884,-0.19010084199338445,High
Renta Variable,SCOTIA FONDO ACCIONES,SCOTIA FONDOS,04/02/2008,S/.,11.16,0.1512,0.1729,-0.0373,-0.0551,0.0045,-0.0032,-0.1278,0.0711,0.4648,-0.348,-0.0725,3201976.0,182.0,16,Renta Variable,13,0.4648,-0.348,0.02100952380952381,0.19460612414286046,0.017729833182945357,10.5,0.0016885555412328912,0.0016751627683362358,-0.09416372332769699,Medium High
Renta Variable,SURA ACCIONES,FONDOS SURA SAF,22/01/2007,S/.,16.37,0.1317,0.202,-0.0726,0.0576,0.0648,0.0142,-0.0982,0.2643,0.5058,-0.3078,-0.0779,16872639.39,659.0,17,Renta Variable,14,0.5058,-0.3078,0.06513333333333332,0.20557131009786736,0.5788949825505563,10.5,0.05513285548100536,0.04445752980985085,0.11897345888493502,High
Corto Plazo Soles,AC CASH PLUS S/,ANDEAN CROWN SAF S.A.C.,14/08/2024,S/.,0.0,,,,,,,,,,,,1075792.38,49.0,0,Renta Fija,15,,,,,,,,,,
