Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N
Renta Variable,CREDICORP ACCIONES GLOBAL CREDIFONDO SAF,CREDIFONDO SAF,25/03/2013,$,180.92,0.0967,0.1656,-0.2041,0.1397,0.1303,0.2313,-0.1154,0.2009,0.0315,-0.0556,-0.0042,23652842.51,894.0
Renta Variable,CREDICORP CAPITAL ACCIONES CREDIFONDO SAF,CREDIFONDO SAF,17/01/2007,$,166.16,0.106,0.228,0.0215,-0.0644,-0.0588,0.0563,-0.1253,0.2724,0.5416,-0.4038,-0.116,43751750.38,564.0
Renta Variable,Faro Global Innovation Instit. FARO CAPITAL SAFI,FARO CAPITAL SAFI,27/01/2020,$,0.0,,,,,,,,,,,,18290288.23,30.0
Renta Variable,FARO CAPITAL SAFI-Faro Global Innovation Instit. SERIE A,FARO CAPITAL SAFI,27/01/2020,$,93.67,0.0684,0.2314,-0.3026,-0.1966,,,,,,,,,1.0
Renta Variable,FARO CAPITAL SAFI-Faro Global Innovation Instit. SERIE B,FARO CAPITAL SAFI,27/01/2020,$,126.75,0.0671,0.2285,-0.3043,-0.0248,,,,,,,,,4.0
Renta Variable,FARO CAPITAL SAFI-Faro Global Innovation Instit. SERIE C,FARO CAPITAL SAFI,27/01/2020,$,125.42,0.0658,0.2256,-0.3059,-0.0271,0.4255,,,,,,,,25.0
Renta Variable,FARO RENTA VARIABLE GLOBAL FARO CAPITAL SAFI,FARO CAPITAL SAFI,29/05/2018,$,0.0,,,,,,,,,,,,71182192.03,55.0
Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,147.85,0.0925,0.1724,-0.206,0.1192,0.2443,0.1666,-0.1108,,,,,,3.0
Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,145.26,0.0912,0.1697,-0.208,0.1165,0.2414,0.1618,-0.1133,,,,,,8.0
Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,141.09,0.0886,0.1642,-0.2117,0.1113,0.2356,0.156,-0.1158,,,,,,44.0
Renta Variable,IF ACCIONES INTERFONDO,INTERFONDO,19/01/2007,S/.,108.08,0.0767,0.1398,-0.0743,0.075,0.0031,-0.0132,-0.0914,0.2204,0.4764,-0.3053,-0.075,11369090.21,1260.0
Renta Variable,Promoinvest Fondo Selectivo PROMOINVEST SAF,PROMOINVEST SAF,14/01/1999,$,3.19,0.0714,0.0595,-0.0381,0.03,-0.1799,-0.0352,-0.1698,0.2781,0.7177,-0.5004,-0.1759,5020514.18,465.0
Renta Variable,SCOTIA FONDO ACCIONES SCOTIA FONDOS,SCOTIA FONDOS,2/4/08,S/.,10.89,0.1232,0.1729,-0.0373,-0.0551,0.0045,-0.0032,-0.1278,0.0711,0.4648,-0.348,-0.0725,3608854.69,206.0
Renta Variable,SURA ACCIONES FONDOS SURA SAF,FONDOS SURA SAF,22/01/2007,S/.,15.86,0.0959,0.202,-0.0726,0.0576,0.0648,0.0142,-0.0982,0.2643,0.5058,-0.3078,-0.0779,16161926.13,670.0
Corto Plazo Soles,Prudential Corto Plazo S/. PRUDENTIALSAF SAF,PRUDENTIALSAF SAF,4/4/24,S/.,0.0,,,,,,,,,,,,15373472.67,106.0
Corto Plazo Soles,PRUDENTIALSAF SAF-Prudential Corto Plazo S/. SERIE A,PRUDENTIALSAF SAF,4/4/24,S/.,10.49,0.0125,,,,,,,,,,,,102.0
