fund_id,year,return
1,2014,-0.0042
1,2015,-0.0556
1,2016,0.0315
1,2017,0.2009
1,2018,-0.1154
1,2019,0.2313
1,2020,0.1303
1,2021,0.1397
1,2022,-0.2041
1,2023,0.1656
1,2024,0.0967
2,2014,-0.116
2,2015,-0.4038
2,2016,0.5416
2,2017,0.2724
2,2018,-0.1253
2,2019,0.0563
2,2020,-0.0588
2,2021,-0.0644
2,2022,0.0215
2,2023,0.228
2,2024,0.106
3,2014,
3,2015,
3,2016,
3,2017,
3,2018,
3,2019,
3,2020,
3,2021,-0.1966
3,2022,-0.3026
3,2023,0.2314
3,2024,0.0684
4,2014,
4,2015,
4,2016,
4,2017,
4,2018,
4,2019,
4,2020,
4,2021,-0.0248
4,2022,-0.3043
4,2023,0.2285
4,2024,0.0671
5,2014,
5,2015,
5,2016,
5,2017,
5,2018,
5,2019,
5,2020,0.4255
5,2021,-0.0271
5,2022,-0.3059
5,2023,0.2256
5,2024,0.0658
6,2014,
6,2015,
6,2016,
6,2017,
6,2018,-0.1108
6,2019,0.1666
6,2020,0.2443
6,2021,0.1192
6,2022,-0.206
6,2023,0.1724
6,2024,0.0925
7,2014,
7,2015,
7,2016,
7,2017,
7,2018,-0.1133
7,2019,0.1618
7,2020,0.2414
7,2021,0.1165
7,2022,-0.208
7,2023,0.1697
7,2024,0.0912
8,2014,
8,2015,
8,2016,
8,2017,
8,2018,-0.1158
8,2019,0.156
8,2020,0.2356
8,2021,0.1113
8,2022,-0.2117
8,2023,0.1642
8,2024,0.0886
9,2014,-0.075
9,2015,-0.3053
9,2016,0.4764
9,2017,0.2204
9,2018,-0.0914
9,2019,-0.0132
9,2020,0.0031
9,2021,0.075
9,2022,-0.0743
9,2023,0.1398
9,2024,0.0767
10,2014,-0.1759
10,2015,-0.5004
10,2016,0.7177
10,2017,0.2781
10,2018,-0.1698
10,2019,-0.0352
10,2020,-0.1799
10,2021,0.03
10,2022,-0.0381
10,2023,0.0595
10,2024,0.0714
11,2014,-0.0725
11,2015,-0.348
11,2016,0.4648
11,2017,0.0711
11,2018,-0.1278
11,2019,-0.0032
11,2020,0.0045
11,2021,-0.0551
11,2022,-0.0373
11,2023,0.1729
11,2024,0.1232
12,2014,-0.0779
12,2015,-0.3078
12,2016,0.5058
12,2017,0.2643
12,2018,-0.0982
12,2019,0.0142
12,2020,0.0648
12,2021,0.0576
12,2022,-0.0726
12,2023,0.202
12,2024,0.0959
13,2014,
13,2015,
13,2016,
13,2017,
13,2018,
13,2019,
13,2020,
13,2021,
13,2022,
13,2023,
13,2024,0.0125
14,2014,
14,2015,
14,2016,
14,2017,
14,2018,
14,2019,
14,2020,
14,2021,
14,2022,
14,2023,
14,2024,0.0125
15,2014,
15,2015,
15,2016,
15,2017,
15,2018,
15,2019,
15,2020,
15,2021,
15,2022,
15,2023,
15,2024,0.0097
16,2014,
16,2015,
16,2016,
16,2017,
16,2018,
16,2019,
16,2020,
16,2021,
16,2022,
16,2023,
16,2024,0.0104
17,2014,
17,2015,
17,2016,
17,2017,
17,2018,
17,2019,
17,2020,
17,2021,
17,2022,
17,2023,-0.0019
17,2024,0.0277
18,2014,
18,2015,
18,2016,
18,2017,
18,2018,
18,2019,
18,2020,
18,2021,
18,2022,0.0846
18,2023,0.0037
18,2024,-0.0149
19,2014,
19,2015,
19,2016,
19,2017,
19,2018,
19,2019,
19,2020,
19,2021,
19,2022,
19,2023,
19,2024,0.02
20,2014,
20,2015,
20,2016,
20,2017,
20,2018,
20,2019,
20,2020,
20,2021,
20,2022,
20,2023,
20,2024,0.0346
21,2014,
21,2015,
21,2016,
21,2017,
21,2018,
21,2019,
21,2020,
21,2021,
21,2022,
21,2023,
21,2024,0.0153
22,2014,
22,2015,
22,2016,
22,2017,
22,2018,
22,2019,
22,2020,
22,2021,
22,2022,
22,2023,
22,2024,0.0073
23,2014,
23,2015,
23,2016,
23,2017,
23,2018,
23,2019,
23,2020,
23,2021,
23,2022,
23,2023,
23,2024,0.0132
24,2014,
24,2015,
24,2016,
24,2017,
24,2018,
24,2019,
24,2020,
24,2021,
24,2022,
24,2023,
24,2024,0.0112
25,2014,
25,2015,
25,2016,
25,2017,
25,2018,
25,2019,
25,2020,
25,2021,
25,2022,
25,2023,
25,2024,0.0104
26,2014,
26,2015,
26,2016,
26,2017,
26,2018,
26,2019,
26,2020,
26,2021,
26,2022,
26,2023,
26,2024,0.0171
27,2014,
27,2015,
27,2016,
27,2017,
27,2018,
27,2019,
27,2020,
27,2021,
27,2022,
27,2023,
27,2024,0.0072
28,2014,
28,2015,
28,2016,
28,2017,
28,2018,
28,2019,
28,2020,
28,2021,
28,2022,
28,2023,
28,2024,0.01
29,2014,
29,2015,
29,2016,
29,2017,
29,2018,
29,2019,
29,2020,
29,2021,
29,2022,
29,2023,
29,2024,0.0019
30,2014,
30,2015,
30,2016,
30,2017,
30,2018,
30,2019,
30,2020,
30,2021,
30,2022,
30,2023,
30,2024,0.0017
31,2014,
31,2015,
31,2016,
31,2017,
31,2018,
31,2019,
31,2020,
31,2021,
31,2022,
31,2023,
31,2024,0.0022
32,2014,
32,2015,
32,2016,
32,2017,
32,2018,
32,2019,
32,2020,
32,2021,
32,2022,
32,2023,0.0153
32,2024,0.0228
33,2014,
33,2015,
33,2016,
33,2017,
33,2018,
33,2019,
33,2020,
33,2021,
33,2022,
33,2023,0.0163
33,2024,0.0203
34,2014,
34,2015,
34,2016,
34,2017,
34,2018,
34,2019,
34,2020,
34,2021,
34,2022,
34,2023,0.0006
34,2024,0.0225
35,2014,
35,2015,
35,2016,
35,2017,
35,2018,
35,2019,
35,2020,
35,2021,
35,2022,
35,2023,0.0086
35,2024,0.0228
36,2014,
36,2015,
36,2016,
36,2017,
36,2018,
36,2019,
36,2020,
36,2021,
36,2022,
36,2023,0.0001
36,2024,0.0227
37,2014,
37,2015,
37,2016,
37,2017,
37,2018,
37,2019,
37,2020,
37,2021,
37,2022,
37,2023,0.0272
37,2024,
38,2014,
38,2015,
38,2016,
38,2017,
38,2018,
38,2019,
38,2020,
38,2021,
38,2022,
38,2023,0.0177
38,2024,0.0245
39,2014,
39,2015,
39,2016,
39,2017,
39,2018,
39,2019,
39,2020,
39,2021,
39,2022,
39,2023,0.0234
39,2024,
40,2014,
40,2015,
40,2016,
40,2017,
40,2018,
40,2019,
40,2020,
40,2021,
40,2022,
40,2023,0.0071
40,2024,0.0231
41,2014,
41,2015,
41,2016,
41,2017,
41,2018,
41,2019,
41,2020,
41,2021,
41,2022,
41,2023,0.0028
41,2024,0.022
42,2014,
42,2015,
42,2016,
42,2017,
42,2018,
42,2019,
42,2020,
42,2021,
42,2022,
42,2023,
42,2024,0.0172
43,2014,
43,2015,
43,2016,
43,2017,
43,2018,
43,2019,
43,2020,
43,2021,
43,2022,
43,2023,
43,2024,0.011
44,2014,
44,2015,
44,2016,
44,2017,
44,2018,
44,2019,
44,2020,
44,2021,
44,2022,
44,2023,
44,2024,0.0002
45,2014,
45,2015,
45,2016,
45,2017,
45,2018,
45,2019,
45,2020,
45,2021,
45,2022,
45,2023,
45,2024,0.0024
46,2014,
46,2015,
46,2016,
46,2017,
46,2018,
46,2019,
46,2020,
46,2021,
46,2022,-0.0052
46,2023,0.0289
46,2024,0.0181
47,2014,-0.0369
47,2015,-0.2569
47,2016,0.3873
47,2017,0.1833
47,2018,-0.0641
47,2019,0.039
47,2020,0.0319
47,2021,0.0144
47,2022,-0.007
47,2023,0.1561
47,2024,0.1046
48,2014,-0.0592
48,2015,-0.2343
48,2016,0.2536
48,2017,0.1401
48,2018,-0.0723
48,2019,0.0576
48,2020,-0.0131
48,2021,-0.0317
48,2022,-0.0036
48,2023,0.1281
48,2024,0.0553
49,2014,-0.0538
49,2015,-0.2057
49,2016,0.2485
49,2017,0.1365
49,2018,-0.0673
49,2019,0.0162
49,2020,-0.0322
49,2021,-0.0388
49,2022,-0.0022
49,2023,0.1257
49,2024,0.0418
50,2014,-0.0668
50,2015,-0.2327
50,2016,0.2688
50,2017,0.0608
50,2018,-0.0685
50,2019,0.0268
50,2020,-0.0418
50,2021,-0.0841
50,2022,0.0318
50,2023,0.0994
50,2024,0.0093
51,2014,0.0066
51,2015,-0.0874
51,2016,0.1572
51,2017,0.0945
51,2018,-0.0157
51,2019,0.0395
51,2020,0.0285
51,2021,-0.0247
51,2022,-0.0002
51,2023,0.0881
51,2024,0.0477
52,2014,0.0278
52,2015,-0.0636
52,2016,0.1824
52,2017,0.0933
52,2018,-0.0048
52,2019,0.0177
52,2020,0.0125
52,2021,0.0011
52,2022,0.0086
52,2023,0.0684
52,2024,0.0539
53,2014,-0.0304
53,2015,-0.1292
53,2016,0.1267
53,2017,0.0781
53,2018,-0.0509
53,2019,0.0526
53,2020,0.0021
53,2021,-0.0229
53,2022,-0.0166
53,2023,0.0766
53,2024,0.0281
54,2014,0.0361
54,2015,0.0084
54,2016,0.0522
54,2017,0.0667
54,2018,0.0154
54,2019,0.0627
54,2020,0.0347
54,2021,-0.0486
54,2022,0.0056
54,2023,0.1032
54,2024,0.0236
55,2014,0.0417
55,2015,0.0262
55,2016,0.0651
55,2017,0.0662
55,2018,0.0231
55,2019,0.0619
55,2020,0.0467
55,2021,-0.0343
55,2022,0.0023
55,2023,0.0917
55,2024,0.0351
56,2014,0.041
56,2015,0.0185
56,2016,0.0465
56,2017,0.0597
56,2018,0.0187
56,2019,0.0492
56,2020,0.0283
56,2021,-0.0386
56,2022,-0.0675
56,2023,0.0926
56,2024,0.0308
57,2014,0.0507
57,2015,-0.0016
57,2016,0.0566
57,2017,0.0626
57,2018,0.0361
57,2019,0.0569
57,2020,0.0494
57,2021,-0.0256
57,2022,0.0132
57,2023,0.0786
57,2024,0.0312
58,2014,0.0085
58,2015,-0.0074
58,2016,0.0072
58,2017,0.0245
58,2018,-0.0039
58,2019,0.0565
58,2020,0.0257
58,2021,-0.0268
58,2022,-0.0366
58,2023,0.0607
58,2024,0.0224
59,2014,0.011
59,2015,0.0013
59,2016,0.0177
59,2017,0.0303
59,2018,-0.0058
59,2019,0.0629
59,2020,0.0401
59,2021,-0.0063
59,2022,-0.036
59,2023,0.0603
59,2024,0.0262
60,2014,0.0116
60,2015,-0.0033
60,2016,0.0146
60,2017,0.0228
60,2018,-0.0026
60,2019,0.044
60,2020,0.0309
60,2021,-0.0142
60,2022,-0.0439
60,2023,0.0331
60,2024,0.0143
61,2014,0.0294
61,2015,0.0324
61,2016,0.038
61,2017,0.0317
61,2018,0.0199
61,2019,0.0249
61,2020,0.0091
61,2021,0.001
61,2022,0.038
61,2023,0.0713
61,2024,0.0302
62,2014,0.0286
62,2015,0.0233
62,2016,0.0429
62,2017,0.0374
62,2018,0.0227
62,2019,0.0234
62,2020,0.0204
62,2021,-0.0109
62,2022,0.023
62,2023,0.0627
62,2024,0.0311
63,2014,0.0326
63,2015,0.0297
63,2016,0.0443
63,2017,0.045
63,2018,0.0222
63,2019,0.0378
63,2020,0.0245
63,2021,-0.0195
63,2022,0.0272
63,2023,0.0768
63,2024,0.0295
64,2014,
64,2015,
64,2016,
64,2017,
64,2018,0.0073
64,2019,0.032
64,2020,0.0138
64,2021,0.0014
64,2022,0.0344
64,2023,0.0708
64,2024,0.0312
65,2014,0.0321
65,2015,0.0479
65,2016,0.0491
65,2017,0.0457
65,2018,0.0293
65,2019,0.0377
65,2020,0.0307
65,2021,-0.0076
65,2022,0.0329
65,2023,0.0754
65,2024,0.0326
66,2014,0.0334
66,2015,0.035
66,2016,0.0424
66,2017,0.0388
66,2018,0.0281
66,2019,0.0302
66,2020,0.0136
66,2021,0.002
66,2022,0.0457
66,2023,0.0721
66,2024,0.0296
67,2014,0.0352
67,2015,0.0383
67,2016,0.0588
67,2017,0.0543
67,2018,0.0361
67,2019,0.04
67,2020,0.0217
67,2021,0.0145
67,2022,0.0495
67,2023,0.077
67,2024,-0.0662
68,2014,
68,2015,
68,2016,
68,2017,
68,2018,
68,2019,
68,2020,
68,2021,
68,2022,
68,2023,0.0635
68,2024,0.0271
69,2014,0.0438
69,2015,0.0362
69,2016,0.0526
69,2017,0.0505
69,2018,0.0324
69,2019,0.0429
69,2020,0.0296
69,2021,-0.0067
69,2022,0.0394
69,2023,0.067
69,2024,0.0335
70,2014,0.0375
70,2015,0.0419
70,2016,0.048
70,2017,0.0423
70,2018,0.0303
70,2019,0.0334
70,2020,0.0156
70,2021,0.0052
70,2022,0.0462
70,2023,0.0732
70,2024,0.0309
71,2014,0.0009
71,2015,0.0013
71,2016,0.0035
71,2017,0.0082
71,2018,0.0149
71,2019,0.0188
71,2020,0.0071
71,2021,0.001
71,2022,0.0122
71,2023,0.0442
71,2024,0.0247
72,2014,0.0012
72,2015,-0.0056
72,2016,0.0084
72,2017,0.0123
72,2018,0.0173
72,2019,0.0238
72,2020,0.0118
72,2021,0.0021
72,2022,0.0036
72,2023,0.0465
72,2024,0.0256
73,2014,0.0038
73,2015,0.0075
73,2016,0.0114
73,2017,0.0135
73,2018,0.0166
73,2019,0.0297
73,2020,0.0241
73,2021,0.0034
73,2022,0.0145
73,2023,0.0516
73,2024,0.026
74,2014,0.0025
74,2015,0.0043
74,2016,0.0059
74,2017,0.0088
74,2018,0.0164
74,2019,0.0219
74,2020,0.0099
74,2021,0.0028
74,2022,0.0158
74,2023,0.0483
74,2024,0.0253
75,2014,
75,2015,-0.0098
75,2016,0.0264
75,2017,0.0191
75,2018,0.0222
75,2019,0.034
75,2020,0.0262
75,2021,0.0293
75,2022,0.0088
75,2023,0.0536
75,2024,-0.0977
76,2014,
76,2015,
76,2016,
76,2017,
76,2018,
76,2019,
76,2020,
76,2021,
76,2022,0.0094
76,2023,0.0089
76,2024,0.0255
77,2014,
77,2015,
77,2016,
77,2017,
77,2018,
77,2019,
77,2020,
77,2021,
77,2022,0.0092
77,2023,0.0448
77,2024,0.0248
78,2014,
78,2015,
78,2016,
78,2017,
78,2018,
78,2019,
78,2020,
78,2021,
78,2022,
78,2023,0.0422
78,2024,0.0238
79,2014,0.0057
79,2015,0.0052
79,2016,0.0124
79,2017,0.0165
79,2018,0.0216
79,2019,0.0311
79,2020,0.0173
79,2021,0.0065
79,2022,0.0138
79,2023,0.0482
79,2024,0.0253
80,2014,0.0014
80,2015,0.0031
80,2016,0.0069
80,2017,0.0117
80,2018,0.0198
80,2019,0.025
80,2020,0.0116
80,2021,0.0041
80,2022,0.0149
80,2023,0.0479
80,2024,0.0254
81,2014,
81,2015,
81,2016,
81,2017,
81,2018,
81,2019,
81,2020,
81,2021,
81,2022,
81,2023,
81,2024,0.0091
82,2014,
82,2015,
82,2016,
82,2017,
82,2018,
82,2019,
82,2020,
82,2021,
82,2022,0.0489
82,2023,0.1345
82,2024,0.0737
83,2014,
83,2015,
83,2016,
83,2017,
83,2018,
83,2019,
83,2020,
83,2021,
83,2022,0.0484
83,2023,0.1325
83,2024,0.0726
84,2014,
84,2015,
84,2016,
84,2017,
84,2018,
84,2019,
84,2020,
84,2021,
84,2022,0.0494
84,2023,0.1368
84,2024,0.0749
85,2014,
85,2015,
85,2016,
85,2017,
85,2018,
85,2019,
85,2020,
85,2021,
85,2022,0.0092
85,2023,0.0459
85,2024,0.0249
86,2014,
86,2015,
86,2016,
86,2017,
86,2018,
86,2019,
86,2020,
86,2021,
86,2022,
86,2023,0.0039
86,2024,0.0279
87,2014,
87,2015,
87,2016,
87,2017,
87,2018,
87,2019,
87,2020,
87,2021,
87,2022,
87,2023,0.0441
87,2024,0.0262
88,2014,
88,2015,
88,2016,
88,2017,
88,2018,
88,2019,
88,2020,
88,2021,
88,2022,-0.0571
88,2023,0.0622
88,2024,0.0273
89,2014,
89,2015,
89,2016,
89,2017,
89,2018,
89,2019,
89,2020,
89,2021,
89,2022,-0.0584
89,2023,0.0606
89,2024,0.0263
90,2014,
90,2015,
90,2016,
90,2017,
90,2018,
90,2019,
90,2020,
90,2021,
90,2022,-0.0557
90,2023,0.0641
90,2024,
91,2014,
91,2015,
91,2016,
91,2017,
91,2018,
91,2019,0.0148
91,2020,0.0561
91,2021,-0.0377
91,2022,-0.0539
91,2023,0.1362
91,2024,0.0463
92,2014,
92,2015,
92,2016,
92,2017,
92,2018,
92,2019,
92,2020,
92,2021,
92,2022,
92,2023,0.0382
92,2024,0.0353
93,2014,
93,2015,
93,2016,
93,2017,
93,2018,
93,2019,0.0259
93,2020,0.048
93,2021,0.0488
93,2022,0.0549
93,2023,0.0676
93,2024,0.0308
94,2014,
94,2015,
94,2016,
94,2017,
94,2018,
94,2019,
94,2020,
94,2021,
94,2022,0.0236
94,2023,0.0625
94,2024,0.0302
95,2014,
95,2015,
95,2016,
95,2017,
95,2018,
95,2019,
95,2020,0.0048
95,2021,0.0418
95,2022,0.0673
95,2023,0.0829
95,2024,0.0392
96,2014,
96,2015,
96,2016,
96,2017,
96,2018,0.0039
96,2019,0.0656
96,2020,0.0617
96,2021,-0.0194
96,2022,-0.1174
96,2023,0.0447
96,2024,-0.0043
97,2014,
97,2015,
97,2016,
97,2017,
97,2018,0.0025
97,2019,0.0635
97,2020,0.0604
97,2021,-0.0205
97,2022,-0.1184
97,2023,0.0435
97,2024,-0.0049
98,2014,
98,2015,
98,2016,
98,2017,
98,2018,-0.0003
98,2019,0.0597
98,2020,0.0592
98,2021,-0.0217
98,2022,-0.1194
98,2023,0.0423
98,2024,-0.0055
99,2014,
99,2015,
99,2016,
99,2017,
99,2018,
99,2019,
99,2020,
99,2021,-0.0003
99,2022,-0.1385
99,2023,0.0832
99,2024,0.0456
100,2014,
100,2015,
100,2016,
100,2017,
100,2018,
100,2019,
100,2020,
100,2021,-0.0005
100,2022,-0.1201
100,2023,0.1038
100,2024,0.0456
101,2014,
101,2015,-0.0282
101,2016,-0.0209
101,2017,0.0699
101,2018,-0.088
101,2019,0.1565
101,2020,0.1496
101,2021,0.1175
101,2022,-0.2028
101,2023,0.1405
101,2024,0.0871
102,2014,0.0024
102,2015,0.0061
102,2016,0.0071
102,2017,0.0141
102,2018,0.01
102,2019,0.0269
102,2020,0.0205
102,2021,
102,2022,
102,2023,
102,2024,
103,2014,
103,2015,
103,2016,
103,2017,
103,2018,
103,2019,
103,2020,
103,2021,
103,2022,0.0144
103,2023,0.0336
103,2024,0.0191
104,2014,
104,2015,
104,2016,
104,2017,
104,2018,
104,2019,
104,2020,
104,2021,
104,2022,0.0162
104,2023,0.0354
104,2024,0.0201
105,2014,0.0329
105,2015,0.0388
105,2016,0.0404
105,2017,0.0427
105,2018,0.0219
105,2019,0.0352
105,2020,
105,2021,
105,2022,
105,2023,
105,2024,
106,2014,
106,2015,
106,2016,
106,2017,
106,2018,
106,2019,
106,2020,
106,2021,-0.0101
106,2022,0.0026
106,2023,0.078
106,2024,0.0294
107,2014,
107,2015,
107,2016,
107,2017,
107,2018,
107,2019,
107,2020,
107,2021,-0.0089
107,2022,0.0038
107,2023,0.0792
107,2024,0.03
108,2014,
108,2015,
108,2016,
108,2017,0.0007
108,2018,0.1158
108,2019,0.0688
108,2020,0.0592
108,2021,0.0217
108,2022,0.0282
108,2023,0.0504
108,2024,0.0205
109,2014,
109,2015,
109,2016,
109,2017,
109,2018,
109,2019,
109,2020,
109,2021,0.0998
109,2022,0.1022
109,2023,
109,2024,
110,2014,
110,2015,
110,2016,
110,2017,
110,2018,
110,2019,
110,2020,
110,2021,
110,2022,
110,2023,
110,2024,0.0274
111,2014,
111,2015,
111,2016,
111,2017,
111,2018,
111,2019,
111,2020,
111,2021,
111,2022,
111,2023,
111,2024,0.0298
112,2014,
112,2015,
112,2016,
112,2017,
112,2018,
112,2019,
112,2020,-0.0028
112,2021,0.0472
112,2022,-0.0881
112,2023,0.0829
112,2024,0.0428
113,2014,0.0304
