tipo_fondo,fondo_mutuo,administradora,fec__inicio_operacion,moneda_cuota,valor_cuota,patrimonio_s__,participes_n,anos,categoria,fund_id,risk,logo
Renta Variable,CREDICORP ACCIONES GLOBAL,CREDIFONDO SAF,25/03/2013,$,186.38,24914774.44,938.0,11,Renta Variable,1,Medium,/logosFondosMutuos/logoCredicorp.png
Renta Variable,CREDICORP CAPITAL ACCIONES,CREDIFONDO SAF,17/01/2007,$,171.49,44109977.34,617.0,17,Renta Variable,2,High,/logosFondosMutuos/logoCredicorp.png
Renta Variable,-Faro Global Innovation Instit. SERIE A,FARO CAPITAL SAFI,27/01/2020,$,92.71,,1.0,4,Renta Variable,3,High,/logosFondosMutuos/logoFaro.png
Renta Variable,-Faro Global Innovation Instit. SERIE B,FARO CAPITAL SAFI,27/01/2020,$,125.35,,4.0,4,Renta Variable,4,Medium High,/logosFondosMutuos/logoFaro.png
Renta Variable,-Faro Global Innovation Instit. SERIE C,FARO CAPITAL SAFI,27/01/2020,$,123.93,,22.0,4,Renta Variable,5,High,/logosFondosMutuos/logoFaro.png
Renta Variable,-FARO RENTA VARIABLE GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,152.56,,3.0,6,Renta Variable,6,Medium High,/logosFondosMutuos/logoFaro.png
Renta Variable,-FARO RENTA VARIABLE GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,149.77,,8.0,6,Renta Variable,7,Medium High,/logosFondosMutuos/logoFaro.png
Renta Variable,-FARO RENTA VARIABLE GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,145.22,,38.0,6,Renta Variable,8,Medium High,/logosFondosMutuos/logoFaro.png
Renta Variable,IF ACCIONES,INTERFONDO,19/01/2007,S/.,109.5,10327463.73,1319.0,17,Renta Variable,9,Medium High,/logosFondosMutuos/logoInterFondos.png
Renta Variable,Promoinvest Fondo Selectivo,PROMOINVEST SAF,14/01/1999,$,3.25,4637106.61,451.0,25,Renta Variable,10,High,/logosFondosMutuos/logoPromoInvest.png
Renta Variable,SCOTIA FONDO ACCIONES,SCOTIA FONDOS,04/02/2008,S/.,11.16,3201976.0,182.0,16,Renta Variable,11,Medium High,/logosFondosMutuos/logoScotia2.png
Renta Variable,SURA ACCIONES,FONDOS SURA SAF,22/01/2007,S/.,16.37,16872639.39,659.0,17,Renta Variable,12,High,/logosFondosMutuos/logoSura.png
Corto Plazo Soles,-AC CASH PLUS S/ SERIE A,ANDEAN CROWN SAF S.A.C.,14/08/2024,S/.,10.26,,48.0,0,Renta Fija,13,,/logosFondosMutuos/logoAC.png
Corto Plazo Soles,-Prudential Corto Plazo S/. SERIE A,PRUDENTIALSAF SAF,04/04/2024,S/.,10.66,,219.0,0,Renta Fija,14,,/logosFondosMutuos/logoPrudential.png
Corto Plazo Soles,-Prudential Corto Plazo S/. SERIE B,PRUDENTIALSAF SAF,04/04/2024,S/.,10.56,,6.0,0,Renta Fija,15,,/logosFondosMutuos/logoPrudential.png
Corto Plazo Dólares,-Andean Crown Cash Plus $ SERIE A,ANDEAN CROWN SAF S.A.C.,04/12/2024,$,10.33,,54.0,0,Renta Fija,16,,/logosFondosMutuos/logoAC.png
Corto Plazo Dólares,-Andean Crown Cash Plus $ SERIE B,ANDEAN CROWN SAF S.A.C.,04/12/2024,$,10.34,,2.0,0,Renta Fija,17,,/logosFondosMutuos/logoAC.png
Corto Plazo Dólares,-Prudential Corto Plazo $ SERIE A,PRUDENTIALSAF SAF,08/01/2024,$,10.57,,154.0,0,Renta Fija,18,,/logosFondosMutuos/logoPrudential.png
Corto Plazo Dólares,-Prudential Corto Plazo $ SERIE B,PRUDENTIALSAF SAF,08/01/2024,$,10.46,,1.0,0,Renta Fija,19,,/logosFondosMutuos/logoPrudential.png
Estructurado,CC BARRERA CONDICIONAL XIII,CREDIFONDO SAF,15/06/2022,$,105.2,19165318.17,147.0,2,Estructurado,20,Low,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LII,CREDIFONDO SAF,23/01/2024,$,106.7,90001199.64,273.0,0,Estructurado,21,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LV,CREDIFONDO SAF,26/02/2024,$,103.28,74583450.47,245.0,0,Estructurado,22,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LVIII,CREDIFONDO SAF,04/02/2024,$,103.01,94597654.71,378.0,0,Estructurado,23,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LX,CREDIFONDO SAF,05/02/2024,$,102.53,30513762.56,115.0,0,Estructurado,24,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXI,CREDIFONDO SAF,05/02/2024,$,102.52,65740102.58,206.0,0,Estructurado,25,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXIII,CREDIFONDO SAF,13/06/2024,$,102.18,36554030.22,158.0,0,Estructurado,26,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXIV,CREDIFONDO SAF,13/06/2024,$,102.46,90052132.77,335.0,0,Estructurado,27,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXIX,CREDIFONDO SAF,30/07/2024,$,101.2,41519925.31,175.0,0,Estructurado,28,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXVI,CREDIFONDO SAF,16/07/2024,$,101.51,51673280.89,154.0,0,Estructurado,29,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXVII,CREDIFONDO SAF,16/07/2024,$,101.71,70050885.42,274.0,0,Estructurado,30,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXVIII,CREDIFONDO SAF,30/07/2024,$,101.28,337320730.15,1086.0,0,Estructurado,31,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXX,CREDIFONDO SAF,30/07/2024,$,101.32,38127098.83,153.0,0,Estructurado,32,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXI,CREDIFONDO SAF,13/08/2024,$,101.08,134654894.7,511.0,0,Estructurado,33,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXII,CREDIFONDO SAF,13/08/2024,$,101.02,36547357.86,175.0,0,Estructurado,34,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXIII,CREDIFONDO SAF,13/08/2024,$,100.91,22987255.3,92.0,0,Estructurado,35,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXIV,CREDIFONDO SAF,29/08/2024,$,100.85,189839345.96,649.0,0,Estructurado,36,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC Cupon Escalonado LXXIX,CREDIFONDO SAF,10/03/2024,$,100.05,16398935.37,78.0,0,Estructurado,37,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXV,CREDIFONDO SAF,29/08/2024,$,100.76,30744790.12,112.0,0,Estructurado,38,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXVI,CREDIFONDO SAF,09/12/2024,$,100.47,18908272.96,89.0,0,Estructurado,39,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXVII,CREDIFONDO SAF,13/09/2024,$,100.61,136102713.86,369.0,0,Estructurado,40,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXVIII,CREDIFONDO SAF,13/09/2024,$,100.58,30597203.32,94.0,0,Estructurado,41,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXX,CREDIFONDO SAF,10/03/2024,$,100.45,166170146.86,565.0,0,Estructurado,42,,/logosFondosMutuos/logoCredicorp.png
Estructurado,CC CUPON ESCALONADO LXXXI,CREDIFONDO SAF,10/03/2024,$,100.26,19778018.54,88.0,0,Estructurado,43,,/logosFondosMutuos/logoCredicorp.png
