Reporte Valor Cuota,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fecha y Hora de generaci󮺠12/11/2024 12:58:12 p.m.,,,,,,,,,,,,,,,,
Fondo: FONDO OPERATIVO,,,,,,,,,,,,,,,,
Fecha Inicio: 31 de Octubre del 2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Variacion desde el Inicio del 2024,Rentabilidad(A) 2023,Rentabilidad(A) 2022,Rentabilidad(A) 2021,Rentabilidad(A) 2020,Rentabilidad(A) 2019,Patrimonio S/.,Patrimonio %,Partícipes N,Partícipes %,Inf. Atrasada
01 - Renta Variable,CREDICORP ACCIONES GLOBAL CREDIFONDO SAF,CREDIFONDO SAF,25/03/2013,$,186.380335,12.97%,16.56%,-20.41%,13.97%,13.03%,23.13%,"24,914,774.44",0.05%,938,0.19%,31/10/2024
01 - Renta Variable,CREDICORP CAPITAL ACCIONES CREDIFONDO SAF,CREDIFONDO SAF,17/01/2007,$,171.490293,14.15%,22.80%,2.15%,-6.44%,-5.88%,5.63%,"44,109,977.34",0.10%,617,0.13%,31/10/2024
01 - Renta Variable,Faro Global Innovation Instit. FARO CAPITAL SAFI,FARO CAPITAL SAFI,27/01/2020,$,0,,,,,,,"14,601,706.51",0.03%,27,0.01%,31/10/2024
01 - Renta Variable,FARO CAPITAL SAFI-Faro Global Innovation Instit. SERIE A,FARO CAPITAL SAFI,27/01/2020,$,92.7060412,5.74%,23.14%,-30.26%,-19.66%,,,,,1,0.00%,31/10/2024
01 - Renta Variable,FARO CAPITAL SAFI-Faro Global Innovation Instit. SERIE B,FARO CAPITAL SAFI,27/01/2020,$,125.3525046,5.53%,22.85%,-30.43%,-2.48%,,,,,4,0.00%,31/10/2024
01 - Renta Variable,FARO CAPITAL SAFI-Faro Global Innovation Instit. SERIE C,FARO CAPITAL SAFI,27/01/2020,$,123.9307141,5.32%,22.56%,-30.59%,-2.71%,42.55%,,,,22,0.00%,31/10/2024
01 - Renta Variable,FARO RENTA VARIABLE GLOBAL FARO CAPITAL SAFI,FARO CAPITAL SAFI,29/05/2018,$,0,,,,,,,"64,731,317.64",0.14%,49,0.01%,31/10/2024
01 - Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,152.5551055,12.73%,17.24%,-20.60%,11.92%,24.43%,16.66%,,,3,0.00%,31/10/2024
01 - Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,149.7654238,12.50%,16.97%,-20.80%,11.65%,24.14%,16.18%,,,8,0.00%,31/10/2024
01 - Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,145.2227858,12.05%,16.42%,-21.17%,11.13%,23.56%,15.60%,,,38,0.01%,31/10/2024
