Reporte Valor Cuota,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fecha y Hora de generaci󮺠04/07/2024 02:28:21 p.m.,,,,,,,,,,,,,,,,
Fondo: FONDO OPERATIVO,,,,,,,,,,,,,,,,
Fecha Inicio: 1 de Enero del 2019,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Variacion desde el Inicio del 2019,Rentabilidad(A) 2018,Rentabilidad(A) 2017,Rentabilidad(A) 2016,Rentabilidad(A) 2015,Rentabilidad(A) 2014,Patrimonio S/.,Patrimonio %,Partícipes N,Partícipes %,Inf. Atrasada
01 - Renta Variable,CREDICORP ACCIONES GLOBAL CREDIFONDO SAF,CREDIFONDO SAF,25/03/2013,$,111.477136,-0.01%,-11.54%,20.09%,3.15%,-5.56%,-0.42%,"56,266,620.40",0.19%,313,0.07%,1/1/19
01 - Renta Variable,CREDICORP CAPITAL ACCIONES CREDIFONDO SAF,CREDIFONDO SAF,17/01/2007,$,128.4860821,-0.01%,-12.53%,27.24%,54.16%,-40.38%,-11.60%,"77,465,740.49",0.26%,"1,058.00",0.24%,1/1/19
01 - Renta Variable,FARO RENTA VARIABLE GLOBAL FARO CAPITAL SAFI,FARO CAPITAL SAFI,29/05/2018,$,0,,,,,,,"47,289,953.90",0.16%,66,0.01%,1/1/19
01 - Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,88.91896038,0.00%,-11.08%,,,,,,,4,0.00%,1/1/19
01 - Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,88.68060416,0.00%,-11.33%,,,,,,,9,0.00%,1/1/19
01 - Renta Variable,FARO CAPITAL SAFI-FARO RENTA VARIABLE GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,88.45306578,0.00%,-11.58%,,,,,,,53,0.01%,1/1/19
01 - Renta Variable,IF ACCIONES INTERFONDO,INTERFONDO,19/01/2007,S/.,89.2573,-0.01%,-9.14%,22.04%,47.64%,-30.53%,-7.50%,"18,765,471.02",0.06%,"1,392.00",0.32%,1/1/19
01 - Renta Variable,Promoinvest Fondo Selectivo PROMOINVEST SAF,PROMOINVEST SAF,14/01/1999,$,3.59412767,-0.02%,-16.98%,27.81%,71.77%,-50.04%,-17.59%,"9,188,351.36",0.03%,523,0.12%,1/1/19
01 - Renta Variable,PROMOINVEST INCASOL PROMOINVEST SAF,PROMOINVEST SAF,11/8/08,S/.,0.83258843,-0.02%,-14.15%,24.29%,50.90%,-33.86%,-10.35%,"1,319,793.85",0.00%,171,0.04%,1/1/19
01 - Renta Variable,SCOTIA FONDO ACCIONES SCOTIA FONDOS,SCOTIA FONDOS,2/4/08,S/.,9.06461362,-0.01%,-12.78%,7.11%,46.48%,-34.80%,-7.25%,"10,210,087.30",0.03%,435,0.10%,1/1/19
01 - Renta Variable,SURA ACCIONES FONDOS SURA SAF,FONDOS SURA SAF,22/01/2007,S/.,11.3236231,-0.01%,-9.82%,26.43%,50.58%,-30.78%,-7.79%,"40,737,928.54",0.14%,"1,304.00",0.30%,1/1/19
12 - Estructurado,BBVA OPORT. ESPECIAL S II CONTINENTAL FM,CONTINENTAL FM,5/4/18,S/.,101.9640272,0.01%,1.62%,,,,,"20,645,959.16",0.07%,505,0.11%,1/1/19
12 - Estructurado,BBVA OPORTUNID ESPECIAL S/ 3 CONTINENTAL FM,CONTINENTAL FM,29/08/2018,S/.,99.40678509,0.01%,-1.03%,,,,,"6,915,784.57",0.02%,188,0.04%,1/1/19
12 - Estructurado,CRED. BARRERA COND. S/ II CREDIFONDO SAF,CREDIFONDO SAF,28/09/2018,S/.,97.54043485,0.02%,-2.68%,,,,,"12,010,983.26",0.04%,132,0.03%,1/1/19
12 - Estructurado,Cred. Barrera Condicional II CREDIFONDO SAF,CREDIFONDO SAF,22/08/2017,$,99.81735257,0.00%,-0.08%,-0.16%,,,,"16,135,750.04",0.05%,137,0.03%,1/1/19
12 - Estructurado,Cred. Barrera Condicional IV CREDIFONDO SAF,CREDIFONDO SAF,27/02/2018,$,98.77693887,0.01%,-1.31%,,,,,"16,708,210.82",0.06%,155,0.04%,1/1/19
12 - Estructurado,CRED BARRERA CONDICIONAL VI CREDIFONDO SAF,CREDIFONDO SAF,23/08/2018,$,98.24438576,0.01%,-1.89%,,,,,"22,077,524.64",0.07%,186,0.04%,1/1/19
12 - Estructurado,CRED BARRERA CONDICIONAL VII CREDIFONDO SAF,CREDIFONDO SAF,28/09/2018,$,99.43263378,0.01%,-0.67%,,,,,"27,404,040.95",0.09%,207,0.05%,1/1/19
12 - Estructurado,CRED CAP RENTA FIJA $ III CREDIFONDO SAF,CREDIFONDO SAF,20/04/2015,$,111.6559159,0.01%,1.94%,3.10%,7.71%,-1.58%,,"7,693,747.48",0.03%,55,0.01%,1/1/19
12 - Estructurado,Cred. Cupon Escalonado XIII CREDIFONDO SAF,CREDIFONDO SAF,14/05/2018,$,97.99084638,0.00%,-2.16%,,,,,"17,120,311.79",0.06%,104,0.02%,1/1/19
12 - Estructurado,CRED. CUPON ESCALONADO XV CREDIFONDO SAF,CREDIFONDO SAF,16/11/2018,$,100.3315424,0.01%,0.19%,,,,,"60,018,542.89",0.20%,236,0.05%,1/1/19
12 - Estructurado,Credicorp Cupon DInamico CREDIFONDO SAF,CREDIFONDO SAF,7/6/17,S/.,113.5923019,0.03%,5.54%,7.28%,,,,"12,701,042.41",0.04%,136,0.03%,1/1/19
12 - Estructurado,Credicorp Cupon Escalonado XI CREDIFONDO SAF,CREDIFONDO SAF,5/4/18,S/.,95.43986075,-0.01%,-4.76%,,,,,"7,225,742.33",0.02%,100,0.02%,1/1/19
12 - Estructurado,Credicorp Cupon Escalonado XII CREDIFONDO SAF,CREDIFONDO SAF,23/01/2018,$,97.13389165,0.00%,-2.92%,,,,,"10,047,514.02",0.03%,108,0.02%,1/1/19
12 - Estructurado,Credicorp Cupon Escalonado XIV CREDIFONDO SAF,CREDIFONDO SAF,11/7/18,$,97.95261306,0.00%,-2.16%,,,,,"18,778,322.46",0.06%,108,0.02%,1/1/19
12 - Estructurado,CREDICORP MERC. DESARRO. $ II CREDIFONDO SAF,CREDIFONDO SAF,19/07/2017,$,97.88041494,0.00%,-1.50%,-0.66%,,,,"9,534,620.77",0.03%,60,0.01%,1/1/19
12 - Estructurado,CREDICORP MERCA. DESARRO $ I CREDIFONDO SAF,CREDIFONDO SAF,2/2/17,$,99.7518557,0.01%,-2.41%,2.22%,,,,"14,978,827.83",0.05%,80,0.02%,1/1/19
12 - Estructurado,Credicorp Multiplicador Cupon CREDIFONDO SAF,CREDIFONDO SAF,9/5/17,$,102.1846925,0.00%,0.57%,1.56%,,,,"12,804,119.01",0.04%,93,0.02%,1/1/19
12 - Estructurado,IF III Opción Estratégica $ INTERFONDO,INTERFONDO,22/11/2017,$,49.6822,0.00%,0.64%,-1.34%,,,,"30,688,517.39",0.10%,178,0.04%,1/1/19
12 - Estructurado,IF IV Opción Estratégica $ INTERFONDO,INTERFONDO,12/4/18,$,48.7198,0.01%,-2.64%,,,,,"20,392,512.32",0.07%,81,0.02%,1/1/19
12 - Estructurado,IF IV Opcion Estrategica S/ INTERFONDO,INTERFONDO,11/4/18,S/.,94.7784,0.01%,-5.36%,,,,,"21,959,560.64",0.07%,209,0.05%,1/1/19
12 - Estructurado,IF V CAPITAL 180 INTERFONDO,INTERFONDO,4/10/18,S/.,101.06,0.01%,0.96%,,,,,"20,173,208.26",0.07%,289,0.07%,1/1/19
12 - Estructurado,IF V OPCION ESTRATEGICA $ INTERFONDO,INTERFONDO,24/09/2018,$,48.9596,0.00%,-2.23%,,,,,"8,054,726.10",0.03%,36,0.01%,1/1/19
12 - Estructurado,IF V OPCION ESTRATEGICA S/ INTERFONDO,INTERFONDO,24/07/2018,S/.,96.8056,0.01%,-3.60%,,,,,"3,204,540.70",0.01%,60,0.01%,1/1/19
12 - Estructurado,IF XII Custodia $ Latam INTERFONDO,INTERFONDO,22/02/2018,$,50.6677,0.01%,1.29%,,,,,"117,707,187.57",0.39%,403,0.09%,1/1/19
12 - Estructurado,IF XIII Custodia $ Latam INTERFONDO,INTERFONDO,11/4/18,$,50.5786,0.01%,1.08%,,,,,"36,224,790.63",0.12%,174,0.04%,1/1/19
12 - Estructurado,IF XIV Custodia $ Latam INTERFONDO,INTERFONDO,31/05/2018,$,50.5451,0.01%,1.01%,,,,,"75,210,249.42",0.25%,329,0.07%,1/1/19
12 - Estructurado,IF XV CUSTODIA $ LATAM INTERFONDO,INTERFONDO,24/07/2018,$,50.4984,0.01%,0.91%,,,,,"103,559,533.23",0.35%,516,0.12%,1/1/19
12 - Estructurado,IF XVI CUSTODIA $ INTERFONDO,INTERFONDO,6/9/18,$,50.3791,0.01%,0.68%,,,,,"53,719,545.55",0.18%,399,0.09%,1/1/19
12 - Estructurado,IF XVII CUSTODIA $ INTERFONDO,INTERFONDO,3/10/18,$,50.3381,0.01%,0.61%,,,,,"38,508,118.33",0.13%,353,0.08%,1/1/19
12 - Estructurado,SCOTIA REND. BINARIO S/ SCOTIA FONDOS,SCOTIA FONDOS,5/1/17,S/.,12.03087322,0.11%,9.67%,9.39%,,,,"17,236,595.53",0.06%,100,0.02%,1/1/19
12 - Estructurado,SF REND CONDICIONAL S/ II SCOTIA FONDOS,SCOTIA FONDOS,21/09/2018,S/.,97.01096505,0.01%,-3.03%,,,,,"32,022,987.32",0.11%,244,0.06%,1/1/19
12 - Estructurado,SF RENDIMIENTO BINARIO $ V SCOTIA FONDOS,SCOTIA FONDOS,22/03/2018,$,99.79684385,0.00%,-0.23%,,,,,"40,620,154.46",0.14%,135,0.03%,1/1/19
12 - Estructurado,SF RENDIMIENTO BINARIO $ VII SCOTIA FONDOS,SCOTIA FONDOS,10/7/18,$,97.85942318,0.00%,-2.13%,,,,,"28,801,503.59",0.10%,145,0.03%,1/1/19
12 - Estructurado,SF RENDIMIENTO BINARIO S IV SCOTIA FONDOS,SCOTIA FONDOS,30/11/2018,S/.,98.07506541,0.02%,-2.02%,,,,,"20,794,997.19",0.07%,182,0.04%,1/1/19
12 - Estructurado,SF RENDIMIENTO CONDICIONAL S/ SCOTIA FONDOS,SCOTIA FONDOS,6/7/18,S/.,101.5261702,0.02%,1.34%,,,,,"64,429,887.89",0.22%,355,0.08%,1/1/19
12 - Estructurado,SF Rendimiento Mejorado S/ IV SCOTIA FONDOS,SCOTIA FONDOS,7/5/18,S/.,96.85295002,0.01%,-3.31%,,,,,"32,441,223.02",0.11%,122,0.03%,1/1/19
14 - Renta Mixta Crecimiento Soles,CRED. CRECIMIENTO VCS CREDIFONDO SAF,CREDIFONDO SAF,19/06/2008,S/.,116.5731337,-0.01%,-6.41%,18.33%,38.73%,-25.69%,-3.69%,"58,783,349.76",0.20%,"1,172.00",0.27%,1/1/19
17 - Renta Mixta Balanceado Dólares,CRED. EQUILIBRADO CREDIFONDO SAF,CREDIFONDO SAF,9/3/07,$,119.0395003,0.00%,-7.23%,14.01%,25.36%,-23.43%,-5.92%,"52,486,342.13",0.18%,751,0.17%,1/1/19
17 - Renta Mixta Balanceado Dólares,IF MIXTO BALANCEADO INTERFONDO,INTERFONDO,31/12/1995,$,60.6944,0.00%,-6.73%,13.65%,24.85%,-20.57%,-5.38%,"36,596,672.29",0.12%,971,0.22%,1/1/19
17 - Renta Mixta Balanceado Dólares,SCOTIA FONDO MIXTO BALANCEADO SCOTIA FONDOS,SCOTIA FONDOS,17/04/2007,$,10.16730725,0.00%,-6.85%,6.08%,26.88%,-23.27%,-6.68%,"21,726,522.11",0.07%,493,0.11%,1/1/19
18 - Renta Mixta Moderado Soles,CRED. MODERADO VCS CREDIFONDO SAF,CREDIFONDO SAF,16/06/2008,S/.,131.7888557,0.00%,-1.57%,9.45%,15.72%,-8.74%,0.66%,"31,647,484.33",0.11%,705,0.16%,1/1/19
18 - Renta Mixta Moderado Soles,IF INVERSION FLEXIBLE INTERFONDO,INTERFONDO,30/10/2007,S/.,133.0561,0.00%,-0.48%,9.33%,18.24%,-6.36%,2.78%,"15,858,985.83",0.05%,487,0.11%,1/1/19
19 - Renta Mixta Moderado Dólares,CRED. MODERADO CREDIFONDO SAF,CREDIFONDO SAF,14/09/2002,$,50.17923393,0.00%,-5.09%,7.81%,12.67%,-12.92%,-3.04%,"72,097,913.46",0.24%,935,0.21%,1/1/19
22 - Inst. Deuda Mediano Plazo S/,BBVA RENTA MED. PLAZO S/. CONTINENTAL FM,CONTINENTAL FM,17/10/1997,S/.,301.5980279,0.01%,1.54%,6.67%,5.22%,0.84%,3.61%,"194,946,197.81",0.65%,"4,806.00",1.09%,1/1/19
22 - Inst. Deuda Mediano Plazo S/,CC CONSERV. MED. PLAZO S/. CREDIFONDO SAF,CREDIFONDO SAF,9/3/07,S/.,164.368006,0.01%,2.31%,6.62%,6.51%,2.62%,4.17%,"717,974,986.97",2.40%,"10,384.00",2.36%,1/1/19
22 - Inst. Deuda Mediano Plazo S/,IF MEDIANO PLAZO SOLES INTERFONDO,INTERFONDO,14/03/2002,S/.,193.2299,0.01%,1.87%,5.97%,4.65%,1.85%,4.10%,"116,797,318.75",0.39%,"5,120.00",1.16%,1/1/19
22 - Inst. Deuda Mediano Plazo S/,SURA RENTA SOLES FONDOS SURA SAF,FONDOS SURA SAF,19/05/2006,S/.,178.0874952,0.01%,3.61%,6.26%,5.66%,-0.16%,5.07%,"104,728,755.34",0.35%,959,0.22%,1/1/19
23 - Inst. Deuda Mediano Plazo $,BBVA RENTA MED. PLAZO $ CONTINENTAL FM,CONTINENTAL FM,21/10/1997,$,182.089722,0.01%,-0.39%,2.45%,0.72%,-0.74%,0.85%,"180,411,281.95",0.60%,"3,193.00",0.72%,1/1/19
23 - Inst. Deuda Mediano Plazo $,CREDICORP CONSER. MED. PLA. $ CREDIFONDO SAF,CREDIFONDO SAF,26/03/1996,$,227.2104226,0.01%,-0.58%,3.03%,1.77%,0.13%,1.10%,"994,601,948.82",3.33%,"10,527.00",2.39%,1/1/19
23 - Inst. Deuda Mediano Plazo $,IF MEDIANO PLAZO INTERFONDO,INTERFONDO,1/9/97,$,104.3414,0.01%,-0.26%,2.28%,1.46%,-0.33%,1.16%,"194,915,560.80",0.65%,"5,744.00",1.30%,1/1/19
24 - Inst. Deuda Corto Plazo S/,BBVA CASH SOLES CONTINENTAL FM,CONTINENTAL FM,2/12/08,S/.,134.4349528,0.01%,1.99%,3.17%,3.80%,3.24%,2.94%,"2,614,569,245.50",8.75%,"100,010.00",22.68%,1/1/19
24 - Inst. Deuda Corto Plazo S/,BBVA PERU SOLES CONTINENTAL FM,CONTINENTAL FM,23/03/2011,S/.,129.4859129,0.01%,2.27%,3.74%,4.29%,2.33%,2.86%,"34,355,667.24",0.11%,86,0.02%,1/1/19
24 - Inst. Deuda Corto Plazo S/,BBVA RENTA CORTO PLAZO S/. CONTINENTAL FM,CONTINENTAL FM,27/12/2005,S/.,162.0876805,0.01%,2.22%,4.50%,4.43%,2.97%,3.26%,"399,809,588.53",1.34%,"6,648.00",1.51%,1/1/19
24 - Inst. Deuda Corto Plazo S/,BBVA TESORERIA SOLES FMIV CONTINENTAL FM,CONTINENTAL FM,3/10/18,S/.,102.72279,0.01%,0.73%,,,,,"122,867,593.08",0.41%,81,0.02%,1/1/19
24 - Inst. Deuda Corto Plazo S/,CRED. CONSER. CORTO PLAZO S/ CREDIFONDO SAF,CREDIFONDO SAF,10/2/14,S/.,123.1698094,0.01%,2.93%,4.57%,4.91%,4.79%,3.21%,"1,233,357,800.02",4.13%,"16,998.00",3.86%,1/1/19
24 - Inst. Deuda Corto Plazo S/,CRED. CONSERVAD. LIQUIDEZ S/ CREDIFONDO SAF,CREDIFONDO SAF,6/4/00,S/.,270.8589095,0.01%,2.81%,3.88%,4.24%,3.50%,3.34%,"1,985,313,844.48",6.65%,"43,637.00",9.90%,1/1/19
24 - Inst. Deuda Corto Plazo S/,DIVISO CONSERVADOR SOLES DIVISO FONDOS SAF S.A.,DIVISO FONDOS SAF S.A.,31/07/2013,S/.,128.220078,0.01%,3.61%,5.43%,5.88%,3.83%,3.52%,"35,829,040.62",0.12%,726,0.16%,1/1/19
24 - Inst. Deuda Corto Plazo S/,IF CASH SOLES INTERFONDO,INTERFONDO,20/06/2008,S/.,147.427,0.01%,2.43%,4.13%,4.01%,3.66%,3.78%,"312,740,741.29",1.05%,"5,096.00",1.16%,1/1/19
24 - Inst. Deuda Corto Plazo S/,SURA CORTO PLAZO SOLES FONDOS SURA SAF,FONDOS SURA SAF,25/03/2009,S/.,151.1725665,0.01%,3.24%,5.05%,5.26%,3.62%,4.38%,"257,263,308.53",0.86%,"1,305.00",0.30%,1/1/19
24 - Inst. Deuda Corto Plazo S/,SURA ULTRA CASH SOLES FONDOS SURA SAF,FONDOS SURA SAF,9/5/12,S/.,130.2896008,0.01%,3.03%,4.23%,4.80%,4.19%,3.75%,"391,082,538.56",1.31%,"1,240.00",0.28%,1/1/19
25 - Inst. Deuda Corto Plazo $,BBVA CASH DOLARES CONTINENTAL FM,CONTINENTAL FM,2/12/08,$,107.4856288,0.01%,1.49%,0.82%,0.35%,0.13%,0.09%,"1,622,881,334.31",5.43%,"19,788.00",4.49%,1/1/19
25 - Inst. Deuda Corto Plazo $,BBVA RENTA CORTO PLAZO $ CONTINENTAL FM,CONTINENTAL FM,16/06/2000,$,156.2857787,0.01%,1.73%,1.23%,0.84%,-0.56%,0.12%,"696,623,062.16",2.33%,"4,165.00",0.94%,1/1/19
25 - Inst. Deuda Corto Plazo $,CRED. CONSER. CORTO PLAZO $ CREDIFONDO SAF,CREDIFONDO SAF,18/02/2014,$,105.4942897,0.01%,1.66%,1.35%,1.14%,0.75%,0.38%,"2,131,446,152.58",7.13%,"7,480.00",1.70%,1/1/19
25 - Inst. Deuda Corto Plazo $,CRED. CONSERVADOR LIQUIDEZ $ CREDIFONDO SAF,CREDIFONDO SAF,6/5/99,$,163.0953266,0.01%,1.64%,0.88%,0.59%,0.43%,0.25%,"2,421,537,386.49",8.11%,"16,949.00",3.84%,1/1/19
25 - Inst. Deuda Corto Plazo $,DIVISO CONSERVADOR DOLARES DIVISO FONDOS SAF S.A.,DIVISO FONDOS SAF S.A.,19/03/2015,$,105.991527,0.01%,2.22%,1.91%,2.64%,-0.98%,,"8,654,137.43",0.03%,144,0.03%,1/1/19
25 - Inst. Deuda Corto Plazo $,IF CASH INTERFONDO,INTERFONDO,27/11/2001,$,74.1709,0.01%,1.33%,1.02%,0.46%,0.31%,0.30%,"226,142,744.97",0.76%,"3,347.00",0.76%,1/1/19
25 - Inst. Deuda Corto Plazo $,SURA CORTO PLAZO DOLARES FONDOS SURA SAF,FONDOS SURA SAF,31/08/2009,$,116.8527007,0.01%,2.16%,1.65%,1.24%,0.52%,0.57%,"176,416,218.69",0.59%,659,0.15%,1/1/19
25 - Inst. Deuda Corto Plazo $,SURA ULTRA CASH DOLARES FONDOS SURA SAF,FONDOS SURA SAF,19/07/2012,$,106.7585896,0.01%,1.98%,1.17%,0.69%,0.31%,0.14%,"341,735,306.69",1.14%,529,0.12%,1/1/19
26 - Inst.Deuda Muy Corto Plazo S/,IF EXTRA CONSERVADOR SOLES INTERFONDO,INTERFONDO,15/11/2008,S/.,138.0825,0.01%,2.50%,3.36%,4.02%,3.66%,3.51%,"696,993,357.19",2.33%,"21,217.00",4.81%,1/1/19
27 - Inst Deuda Muy Corto Plazo $,ADCAP EXTRA CONSERV $ FIT CAPITAL SAFI S.A.,FIT CAPITAL SAFI S.A.,2/6/16,$,104.833224,0.01%,2.47%,1.53%,0.66%,,,"18,453,146.99",0.06%,56,0.01%,1/1/19
27 - Inst Deuda Muy Corto Plazo $,IF EXTRA CONSERVADOR INTERFONDO,INTERFONDO,14/11/2008,$,109.1024,0.01%,1.69%,0.80%,0.48%,0.22%,0.16%,"422,320,786.07",1.41%,"5,688.00",1.29%,1/1/19
